Model,Format,Original_Accuracy,Shuffled_Accuracy,Original_RSD,Shuffled_RSD,Original_RStd,Shuffled_RStd,Fluctuation_Rate,Original_CKLD,Shuffled_CKLD
gemini,base_format,0.65,0.55,11.313708498984758,22.803508501982762,0.04694905426528507,0.0850187586806856,0.68,0.006427590183895895,0.026455958074386776
gemini,json_format,0.78,0.62,18.973665961010276,16.492422502470642,0.10567269795924181,0.03400750347227424,0.76,0.018150217151704874,0.01295126278887767
gemini,xml_format,0.65,0.46,17.204650534085253,16.492422502470642,0.06363599827588537,0.11510369782269443,0.71,0.01494163373291054,0.013676446929130674
gemini,json_input_text_output,0.78,0.56,18.973665961010276,8.000000000000002,0.05560793900607067,0.057888031382758165,0.77,0.017871839618625214,0.0032034221015458664
gemini,text_input_json_output,0.63,0.53,12.000000000000002,14.966629547095764,0.10354488198001553,0.07858914321486708,0.74,0.007498092462825267,0.011678281907719436
mistral,base_format,0.64,0.62,26.076809620810597,22.449944320643645,0.08116534559232734,0.07824694865342303,0.7,0.03440601988104042,0.025265315476211088
mistral,json_format,0.66,0.61,20.97617696340303,16.248076809271918,0.10449616246108745,0.16346148559372345,0.71,0.024147378056467703,0.012516343093950121
mistral,xml_format,0.51,0.45,37.20215047547655,10.198039027185574,0.06173148201058015,0.07397497192957043,0.75,0.0764823571461708,0.0053152060054107286
mistral,json_input_text_output,0.68,0.51,35.09985754956849,14.966629547095764,0.09129427154151232,0.13130249002853295,0.77,0.05611866764831114,0.011678281907719433
mistral,text_input_json_output,0.67,0.51,36.98648401781385,20.0,0.06820435424934558,0.07931383258964125,0.73,0.06892822731728764,0.020264599618113673
